epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.35,0.80094,5.80666,0.01523,0.65843,0.16255,0.17633,0.13868,0.84632,2.82517,0.02379,0.000206597,0.000206597,0.000206597
2,201.611,0.90205,4.74151,0.01738,0.52209,0.44205,0.43895,0.31131,1.06997,2.16634,0.03153,0.000408084,0.000408084,0.000408084
3,264.009,0.96984,3.88377,0.01893,0.62498,0.50337,0.55881,0.39349,1.09791,1.78779,0.03278,0.000602696,0.000602696,0.000602696
4,325.29,0.98078,3.14776,0.01936,0.66789,0.54309,0.63681,0.43468,1.06677,1.54384,0.03175,0.000594062,0.000594062,0.000594062
5,387.344,0.97351,2.65733,0.01975,0.65607,0.56629,0.65804,0.46502,1.07987,1.49115,0.0328,0.00058375,0.00058375,0.00058375
6,447.793,0.97566,2.31114,0.01942,0.71272,0.67434,0.73846,0.52719,1.04043,1.24106,0.03091,0.000573438,0.000573438,0.000573438
7,509.267,0.96992,2.04117,0.01899,0.74794,0.66911,0.75649,0.53198,1.05806,1.22921,0.03159,0.000563125,0.000563125,0.000563125
8,570.525,0.95677,1.84666,0.01906,0.72624,0.6818,0.75175,0.54252,0.99027,1.21897,0.02929,0.000552813,0.000552813,0.000552813
9,631.956,0.95059,1.72287,0.01904,0.78138,0.70576,0.77916,0.55278,1.02405,1.08257,0.03104,0.0005425,0.0005425,0.0005425
10,693.29,0.94943,1.60619,0.01867,0.74761,0.74414,0.79176,0.56376,1.05795,1.08005,0.03188,0.000532187,0.000532187,0.000532187
11,753.948,0.9362,1.50877,0.01858,0.7281,0.77019,0.79993,0.57838,1.00674,0.98261,0.03035,0.000521875,0.000521875,0.000521875
12,814.688,0.94325,1.44762,0.01846,0.799,0.70903,0.80208,0.58531,0.99917,1.02057,0.03001,0.000511562,0.000511562,0.000511562
13,875.532,0.94537,1.41699,0.01825,0.80698,0.72433,0.80753,0.5795,1.05951,1.03411,0.03286,0.00050125,0.00050125,0.00050125
